Geneid	alignment_29/RNA-29Aligned.sortedByCoord.out.bam	alignment_30/RNA-30Aligned.sortedByCoord.out.bam	alignment_31/RNA-31Aligned.sortedByCoord.out.bam	alignment_32/RNA-32Aligned.sortedByCoord.out.bam
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
ACTRT2	0	0	0	0
PRDM16-DT	0	0	0	0
PRDM16	0	0	0	0
MIR4251	0	0	0	0
LOC105378606	0	0	0	0
LOC107984909	0	0	0	0
LOC105378605	0	0	0	0
LOC105378604	0	0	0	0
ARHGEF16	3	2	3	2
MEGF6	1	3	0	1
LOC105378608	0	0	0	0
MIR551A	0	0	0	0
LOC105378607	0	0	1	0
TPRG1L	0	0	0	1
WRAP73	0	1	0	3
TP73	8	1	0	0
TP73-AS3	1	0	2	0
LOC105378609	0	0	0	0
TP73-AS1	43	7	26	13
CCDC27	1	0	2	0
SMIM1	0	0	0	0
LRRC47	13	3	15	12
CEP104	0	0	0	2
DFFB	0	0	1	3
LOC107984910	0	0	0	0
C1orf174	0	0	0	0
LINC01134	0	0	0	1
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC02780	0	0	0	0
LINC01777	0	0	0	0
LOC105376674	0	0	0	0
LINC01646	0	0	0	0
LOC107985376	0	0	0	0
AJAP1	0	0	0	0
LINC02781	0	0	0	0
LOC102724429	0	0	0	0
LINC02782	0	0	0	0
LOC105376682	0	0	0	0
LOC107984911	0	0	0	0
LOC105376686	0	0	0	0
MIR4689	0	0	0	0
NPHP4	0	0	0	0
KCNAB2	0	0	0	0
CHD5	0	0	1	0
LOC105376687	0	0	0	0
RPL22	2	5	2	4
LOC107985733	10	11	5	14
RNF207-AS1	2	0	1	0
RNF207	48	19	32	35
ICMT	16	9	10	16
LINC00337	0	0	0	0
HES3	0	0	0	0
GPR153	0	0	0	0
ACOT7	0	0	0	2
HES2	0	0	0	0
ESPN	100	56	60	60
MIR4252	0	0	0	0
TNFRSF25	13	14	13	10
PLEKHG5	1	4	1	0
NOL9	0	1	1	1
TAS1R1	0	0	0	0
LOC107984912	0	0	0	0
ZBTB48	0	0	0	1
KLHL21	0	1	0	0
LOC107984913	0	0	0	1
PHF13	2	0	0	1
THAP3	1371	790	962	968
DNAJC11	27	7	15	9
LINC01672	0	0	0	0
CAMTA1-DT	0	0	1	0
CAMTA1	1	0	2	1
LOC105376692	0	0	0	0
CAMTA1-AS2	0	0	0	0
CAMTA1-AS1	0	0	0	0
LOC105376691	0	0	0	0
LOC105376689	0	0	0	0
VAMP3	3	0	1	2
PER3	56	52	50	68
UTS2	0	0	0	0
TNFRSF9	0	0	0	0
PARK7	4	2	3	1
ERRFI1	0	0	0	0
LOC107984915	0	0	0	0
LINC01714	0	0	0	0
LOC105376695	0	0	0	0
SLC45A1	0	0	0	0
RERE	5	1	4	2
RERE-AS1	0	0	0	1
SNORD128	0	0	0	0
ENO1	7	4	6	7
MIR6728	0	0	0	0
ENO1-AS1	2	9	4	8
LOC112268261	0	0	0	0
CA6	0	0	0	0
SLC2A7	1	1	0	0
SLC2A5	0	0	0	0
GPR157	0	0	0	0
MIR34AHG	3	2	3	0
MIR34A	0	0	0	0
LNCTAM34A	1	1	1	2
H6PD	1	2	1	0
SPSB1	0	0	0	0
LINC02606	0	0	0	0
SLC25A33	1	0	0	0
TMEM201	0	0	1	0
LOC105376712	0	0	0	0
PIK3CD	301	148	170	138
PIK3CD-AS1	0	0	0	0
PIK3CD-AS2	0	0	0	0
CLSTN1	41	19	15	25
CTNNBIP1	0	1	1	0
LOC105376717	63	32	43	47
LZIC	2	2	3	2
NMNAT1	3	5	5	3
TMEM274P	0	1	0	1
MIR5697	0	0	0	0
RBP7	0	0	0	0
UBE4B	2	0	3	1
KIF1B	4	1	5	7
LOC105376725	0	0	2	2
PGD	5	3	2	0
CENPS-CORT	0	4	0	1
CENPS	0	0	2	0
CORT	2	2	0	3
DFFA	2	0	1	0
PEX14	0	0	2	1
CASZ1	3	2	0	3
LOC105376733	0	0	0	0
LOC105376735	0	0	0	0
C1orf127	0	0	0	0
TARDBP	2	4	2	1
MASP2	72	72	67	96
SRM	0	0	0	1
EXOSC10	27	7	9	12
EXOSC10-AS1	103	102	120	82
MTOR	35	20	32	29
MTOR-AS1	49	56	50	38
ANGPTL7	0	0	2	0
UBIAD1	0	2	0	1
LOC105376737	0	0	0	0
LOC105376739	0	0	0	0
LOC105376740	0	0	0	0
DISP3	0	0	1	1
LOC112268221	0	1	1	0
LINC01647	0	0	0	0
FBXO2	0	1	1	0
FBXO44	10	6	3	4
FBXO6	0	1	0	0
MAD2L2	3	0	0	1
DRAXIN	4	4	4	1
AGTRAP	0	0	0	0
C1orf167	341	261	281	227
C1orf167-AS1	0	0	0	0
MTHFR	1	1	0	1
CLCN6	0	0	0	0
NPPA-AS1	0	0	0	0
NPPA	12	17	8	15
NPPB	0	0	0	0
RNU5E-1	0	0	0	0
KIAA2013	1	1	0	0
PLOD1	1	0	1	2
MFN2	3	0	2	1
MIIP	0	0	0	0
MIR6729	0	0	0	0
TNFRSF8	0	0	0	0
MIR7846	0	0	0	0
TNFRSF1B	0	0	0	0
MIR4632	0	0	0	0
LOC107984917	0	0	0	0
VPS13D	1	0	1	0
SNORA59A	0	0	0	0
LINC02766	0	0	0	0
DHRS3	1	0	0	0
MIR6730	0	0	0	0
AADACL4	0	0	0	0
AADACL3	0	0	0	0
C1orf158	0	0	0	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	0	0	0	0
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	0	0	0
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	0	0	0	0
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	0	0	0
LOC102724856	0	0	0	0
LOC107984918	0	0	0	0
PDPN	0	0	0	0
LOC107984919	0	0	0	0
LOC105378612	0	0	0	0
LOC105376756	0	0	0	0
PRDM2	1	3	5	0
KAZN	39	44	37	36
LOC107985467	0	0	0	0
LOC107985468	0	0	0	0
KAZN-AS1	0	0	0	0
LOC105376759	0	0	0	0
LOC107985469	0	0	0	0
TMEM51-AS1	2	0	1	1
TMEM51	10	3	5	5
TMEM51-AS2	0	0	0	1
FHAD1	0	0	0	0
FHAD1-AS1	3	9	1	4
LOC101927441	0	0	0	1
EFHD2	0	2	1	3
CTRC	0	0	0	0
CELA2A	0	0	0	0
LOC105376767	0	0	0	0
CELA2B	7	13	2	2
CASP9	0	0	0	0
DNAJC16	139	97	124	114
SCARNA21B	0	0	0	0
AGMAT	16	5	6	9
DDI2	1	0	0	3
RSC1A1	0	0	0	0
PLEKHM2	0	1	0	0
SLC25A34	0	0	0	0
SLC25A34-AS1	4	2	1	4
TMEM82	0	0	0	0
FBLIM1	0	1	2	1
UQCRHL	0	0	0	0
FLJ37453	10	24	18	10
SPEN	6	2	2	5
ZBTB17	311	186	147	216
SRARP	0	0	0	0
HSPB7	2	0	0	0
CLCNKA	0	0	0	0
CLCNKB	0	0	1	0
FAM131C	0	0	0	0
EPHA2	3	1	0	2
LOC101927479	0	0	0	3
ARHGEF19	0	0	0	1
ANO7L1	0	0	0	0
CPLANE2	0	0	0	0
FBXO42	0	0	0	0
SZRD1	2	5	1	3
SPATA21	3493	2180	2664	2322
NECAP2	1	6	5	6
LINC01772	7	10	6	8
CROCCP3	18	8	10	12
RNU1-1	0	0	0	0
TRN-GTT5-1	0	0	0	0
LINC01783	0	0	0	0
TRE-TTC4-1	0	0	0	0
TRG-CCC1-1	0	0	0	0
NBPF1	0	0	0	0
LOC105376794	585	544	526	574
CROCCP2	0	0	0	0
MST1P2	0	0	0	0
LOC107985736	0	0	0	0
RNU1-3	0	0	0	0
TRG-CCC4-1	0	0	0	0
ESPNP	0	0	0	0
TRG-CCC5-1	0	0	0	0
RNU1-4	0	0	0	0
MST1L	0	1	0	0
MIR3675	0	0	0	0
TRG-CCC1-2	0	0	0	0
LOC112267871	0	0	0	0
TRE-TTC3-1	0	0	0	0
TRN-GTT13-1	0	0	0	0
LOC105376805	0	0	0	0
TRN-GTT4-1	0	0	0	0
RNU1-2	0	0	0	0
CROCC	1	0	0	1
MFAP2	0	0	0	0
LOC105376806	1	0	10	0
ATP13A2	4	0	0	2
SDHB	2	2	0	1
PADI2	2	1	0	1
LOC105376808	0	0	0	0
LINC02783	0	0	0	0
PADI1	0	0	0	0
PADI3	0	0	0	0
MIR3972	0	0	0	0
PADI4	0	0	0	0
PADI6	0	0	0	0
RCC2	0	0	0	0
RCC2-AS1	0	0	0	0
ARHGEF10L	2	1	2	10
LINC02810	0	0	0	0
ACTL8	0	0	0	0
LOC105376809	0	0	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	0	0	0	0
IGSF21-AS1	0	0	0	0
KLHDC7A	0	0	0	0
PAX7	0	0	0	0
TAS1R2	0	0	0	0
ALDH4A1	0	0	0	0
MIR4695	0	0	0	0
MIR1290	0	0	0	0
IFFO2	0	0	1	0
LOC105376815	0	0	0	0
UBR4	67	79	47	83
EMC1-AS1	126	175	125	142
EMC1	13	6	9	10
MRTO4	22	18	23	28
AKR7L	4	5	1	1
AKR7A3	2	5	4	4
LOC100506730	4	8	4	7
AKR7A2	1	2	3	3
SLC66A1	0	1	0	3
CAPZB	3	0	2	0
LOC105376819	0	0	0	0
LOC105376818	0	0	0	0
LOC105376817	1	0	0	0
LOC105378614	0	0	0	0
MICOS10-NBL1	0	0	0	0
MICOS10	0	0	1	3
RPS14P3	0	0	1	3
NBL1	1	0	0	2
HTR6	0	0	0	0
TMCO4	0	3	2	0
RNF186	0	0	1	0
LOC105376823	0	2	1	1
OTUD3	0	0	0	1
PLA2G2E	0	0	0	0
PLA2G2A	1	1	0	3
PLA2G5	0	0	0	0
PLA2G2D	0	0	0	0
PLA2G2F	0	0	0	0
LOC117779438	0	0	0	0
PLA2G2C	0	0	0	0
UBXN10	0	0	0	0
LOC105376825	0	0	0	0
LOC105376826	0	0	0	0
LINC01757	0	0	0	0
LOC105376828	0	0	0	0
VWA5B1	0	0	0	0
LINC01141	0	0	0	0
CAMK2N1	2	1	0	1
MUL1	0	1	0	5
FAM43B	0	0	0	0
CDA	2	0	0	1
PINK1	461	398	351	350
MIR6084	0	0	0	0
PINK1-AS	944	513	667	674
DDOST	3	3	5	3
KIF17	0	0	0	0
SH2D5	0	0	0	0
HP1BP3	4	2	4	4
EIF4G3	0	2	2	2
LOC105376830	1	1	0	0
LOC105376829	0	1	0	0
MIR1256	0	0	0	0
ECE1	0	0	1	7
ECE1-AS1	0	0	0	0
LOC105376832	0	0	0	0
NBPF3	0	0	0	2
ALPL	0	0	0	0
LINC02596	0	0	0	0
RAP1GAP	0	2	0	0
USP48	0	1	1	1
LDLRAD2	686	680	448	683
HSPG2	0	3	2	2
CELA3B	0	0	0	0
CELA3A	0	0	0	0
LINC01635	1	10	6	6
LINC00339	0	0	2	0
CDC42-AS1	33	11	10	14
CDC42	5	2	2	5
WNT4	0	2	0	2
LOC105376845	0	0	1	0
LOC105376850	0	0	0	0
LOC107985377	0	0	0	0
MIR4418	0	0	0	0
LOC105376856	0	0	0	0
ZBTB40	1	0	2	0
EPHA8	0	0	0	0
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	10	5	2	7
MIR4684	0	0	0	0
MIR4253	274	272	238	190
LACTBL1	0	0	0	0
TEX46	0	0	0	0
KDM1A	94	59	54	68
MIR3115	0	0	0	0
LUZP1	3	3	0	1
HTR1D	0	1	0	1
LINC01355	0	0	0	0
HNRNPR	0	0	0	0
ZNF436	0	0	0	0
ZNF436-AS1	0	0	0	0
TCEA3	0	0	0	0
ASAP3	0	0	0	0
E2F2	0	0	0	0
LOC101928163	2	3	1	0
LOC105376859	0	0	0	0
ID3	0	0	0	0
LOC107984928	0	0	0	0
MDS2	0	0	0	0
RPL11	14	3	3	13
ELOA	61	29	39	36
ELOA-AS1	83	53	45	79
PITHD1	1	0	2	0
LOC105376860	333	228	285	236
LYPLA2	4	1	1	3
GALE	1	1	0	0
HMGCL	1	1	4	0
LOC105376861	0	2	0	0
FUCA1	2	1	1	2
CNR2	0	0	0	0
LOC107984929	0	0	0	0
MIR378F	0	0	0	0
PNRC2	10	10	7	8
SRSF10	0	1	2	4
LOC105378615	0	0	0	0
LOC105376863	0	0	0	0
LOC107984931	1	0	1	0
MYOM3	0	1	1	1
MYOM3-AS1	0	0	0	0
LOC105376864	0	0	0	0
IL22RA1	0	0	2	0
IFNLR1	7	5	5	8
LINC02800	0	0	0	0
GRHL3-AS1	0	0	0	0
GRHL3	1	2	3	3
STPG1	8	7	3	2
NIPAL3	10	21	13	12
RCAN3AS	0	3	3	1
RCAN3	3	4	3	9
NCMAP-DT	222	145	172	173
NCMAP	0	0	0	0
SRRM1	16	5	2	17
CLIC4	4	0	1	5
LOC105376876	0	0	0	0
RUNX3	0	2	1	2
MIR6731	0	0	0	0
LOC107984932	0	1	0	0
RUNX3-AS1	0	0	0	0
MIR4425	0	0	0	0
LINC02793	0	0	0	0
SYF2	2	0	1	2
RSRP1	7	7	2	8
LOC105376882	0	0	0	0
RHD	11	8	10	18
TMEM50A	1	0	1	1
RHCE	1410	927	969	1044
MACO1	0	0	0	2
LDLRAP1	2	0	0	1
MAN1C1	0	0	0	0
SELENON	6	10	10	4
MTFR1L	17	12	14	8
LOC646471	202	250	200	237
AUNIP	228	147	205	216
PAQR7	0	1	0	0
STMN1	5	1	4	2
MIR3917	0	0	0	0
LOC105376885	0	0	0	0
PAFAH2	2	0	0	1
LOC101928216	0	0	0	0
EXTL1	2	0	0	0
SLC30A2	0	0	0	0
LOC105376910	0	0	0	0
TRIM63	0	0	0	0
PDIK1L	8	7	6	7
LOC105376886	1	1	2	1
FAM110D	0	0	0	0
C1orf232	0	0	0	0
ZNF593	0	2	0	0
CNKSR1	0	0	0	0
CATSPER4	0	0	0	0
ZPLD2P	0	0	1	0
CEP85	1	7	7	2
SH3BGRL3	2	2	3	2
UBXN11	1	0	0	0
CD52	0	0	2	0
CRYBG2	0	1	0	4
ZNF683	0	0	0	0
LIN28A	0	0	0	0
DHDDS	4	6	2	4
DHDDS-AS1	3	0	1	2
HMGN2	13	4	9	26
RPS6KA1	0	0	0	0
MIR1976	0	0	0	0
LOC105376888	0	0	0	0
LOC101928728	0	0	0	0
ARID1A	7	3	5	9
PIGV	0	0	0	0
ZDHHC18	2	2	1	3
SFN	2	0	2	5
GPN2	0	1	0	1
GPATCH3	3	3	1	3
NUDC	18	6	11	11
NR0B2	0	0	0	0
KDF1	0	0	0	0
TRNP1	0	0	0	2
TENT5B	0	0	0	0
LOC101928391	0	0	0	0
SLC9A1	1	0	0	4
LOC102723760	0	0	0	0
LOC105376890	0	0	0	0
WDTC1	0	0	2	0
TMEM222	1	0	1	0
ACTG1P20	0	1	0	0
SYTL1	2	2	0	1
MAP3K6	0	0	0	2
FCN3	0	0	0	0
CD164L2	0	0	0	0
GPR3	10	5	5	1
WASF2	0	0	1	3
LOC105376892	0	0	0	0
AHDC1	0	1	0	1
FGR	0	0	0	0
LINC02574	0	0	0	0
IFI6	0	0	0	0
FAM76A	0	0	1	0
STX12	0	0	1	2
PPP1R8	0	0	1	0
SCARNA1	0	0	0	0
THEMIS2	2	1	1	0
RPA2	0	0	0	0
SMPDL3B	0	4	0	7
XKR8	1	1	0	0
EYA3	4	2	3	1
PTAFR	0	0	0	0
DNAJC8	1	2	0	3
ATP5IF1	0	0	0	0
SESN2	0	0	0	0
MED18	0	0	0	0
PHACTR4	0	0	0	0
SNHG3	0	0	1	0
RCC1	3	2	1	3
SNORA73A	0	0	0	0
SNORA73B	0	0	0	0
TRNAU1AP	5	2	3	2
SNHG12	1	1	1	2
SNORD99	0	0	0	0
SNORA61	0	0	0	0
SNORA44	0	0	0	0
SNORA16A	0	0	0	0
RAB42	0	0	0	2
TAF12	0	3	2	0
LINC01715	1	0	2	1
RNU11	0	0	0	0
GMEB1	0	0	0	1
YTHDF2	9	14	11	10
OPRD1	1	1	5	1
EPB41	1	2	1	3
TMEM200B	357	221	192	250
SRSF4	80	35	25	56
MECR	0	0	0	1
PTPRU	4	0	2	2
LINC01756	0	3	0	0
LOC107984933	0	0	0	0
LOC107984934	0	0	0	0
LINC01648	0	0	0	0
LOC105378617	0	0	0	0
LOC105378618	0	0	0	0
MATN1	18	13	12	17
MATN1-AS1	0	0	0	0
LAPTM5	0	0	0	0
MIR4420	0	0	0	0
LOC105378620	0	0	0	0
LOC105378621	0	0	0	0
LINC01778	0	0	0	0
LOC400748	0	0	0	0
SDC3	3	0	0	2
PUM1	0	0	4	1
SNORD103A	0	0	0	0
SNORD103B	0	0	0	0
SNORD103C	0	0	0	0
LOC107984935	0	0	0	0
NKAIN1	0	0	0	0
SNRNP40	1	0	0	0
ZCCHC17	1	2	1	0
FABP3	20	20	16	9
LOC105378623	0	0	0	0
LOC107985470	0	0	0	0
SERINC2	2	2	0	3
LOC105378625	0	0	0	0
LOC105379772	0	0	0	0
LDC1P	0	0	0	0
LINC01226	0	0	0	0
LOC105378626	4	12	4	5
TINAGL1	0	1	1	7
HCRTR1	146	110	109	131
PEF1	3	2	3	1
PEF1-AS1	29	22	18	39
LOC105378628	0	0	0	0
COL16A1	0	1	0	0
LOC101929444	1	0	3	0
ADGRB2	0	0	0	0
MIR4254	0	0	0	0
SPOCD1	0	0	0	0
PTP4A2	16	6	11	10
KHDRBS1	6	2	1	1
TMEM39B	0	0	2	0
MIR5585	0	0	0	0
KPNA6	0	1	2	1
TXLNA	8	8	6	5
CCDC28B	5	10	2	9
TMEM234	45	40	28	27
IQCC	13	9	7	10
DCDC2B	10	18	10	30
EIF3I	28	41	25	36
MTMR9LP	11	10	6	14
FAM167B	0	0	0	0
LCK	1	0	0	0
HDAC1	13	4	3	10
MARCKSL1	20	6	6	36
LOC105378629	0	2	1	0
TSSK3	211	177	163	197
FAM229A	0	0	1	0
BSDC1	0	1	0	1
ZBTB8B	0	0	0	0
ZBTB8A	2	1	0	0
LOC102723870	0	0	0	0
ZBTB8OS	2	0	0	4
RBBP4	125	133	141	181
SYNC	2993	1806	2380	2319
KIAA1522	7	4	5	5
YARS1	2	1	7	4
S100PBP	2	2	3	1
FNDC5	2	2	5	2
LOC105378631	0	0	0	0
HPCA	229	183	193	184
TMEM54	6	4	5	11
LOC105378632	0	0	2	0
RNF19B	2	2	2	0
AK2	2	1	3	4
LOC105378635	0	0	0	0
AZIN2	1	3	0	3
LOC112268224	0	1	0	0
TRIM62	2	1	0	1
ZNF362	0	0	1	0
A3GALT2	0	0	0	0
PHC2	0	3	1	0
MIR3605	0	0	0	0
PHC2-AS1	0	2	0	0
ZSCAN20	0	0	0	2
CSMD2	1	1	0	0
LOC105378638	0	0	0	0
HMGB4	0	0	0	0
CSMD2-AS1	0	0	0	0
C1orf94	0	0	0	0
LOC105378639	0	0	0	0
LOC105378640	0	1	0	0
LOC105378641	0	0	0	0
MIR552	0	0	0	0
LOC105378642	0	0	0	0
GJB5	0	2	0	4
GJB4	0	1	0	0
GJB3	0	0	0	0
GJA4	0	0	0	0
SMIM12	1	0	0	0
DLGAP3	0	0	0	0
GPR199P	0	0	0	0
TMEM35B	1	1	3	0
ZMYM6	3	4	1	2
ZMYM1	0	0	0	0
LOC105378644	0	0	0	0
SFPQ	36	11	17	40
ZMYM4	2	0	0	4
ZMYM4-AS1	31	38	47	45
KIAA0319L	1	7	2	1
NCDN	0	0	0	0
TFAP2E	16	12	8	3
TFAP2E-AS1	8	5	2	2
PSMB2	1	2	2	6
LOC105378646	0	0	0	0
C1orf216	1	0	0	0
CLSPN	0	2	2	1
AGO4	0	0	0	1
AGO1	1	0	0	2
AGO3	1	0	1	0
LOC105378647	0	0	1	0
TEKT2	0	1	0	1
ADPRS	0	0	0	2
COL8A2	0	1	0	0
TRAPPC3	2	0	0	0
MAP7D1	9	5	3	12
THRAP3	5	0	3	6
SH3D21	0	0	0	0
EVA1B	11	12	5	16
STK40	0	2	0	0
LSM10	1	0	0	1
OSCP1	0	0	0	0
SNORA63C	0	0	0	0
LOC107984940	0	0	2	2
MRPS15	4	1	2	4
CSF3R	0	0	0	0
LOC107984941	0	0	0	0
LOC105378648	0	0	0	0
GRIK3	0	0	0	0
MIR4255	0	0	0	0
LOC107984942	0	0	0	0
LINC01137	0	1	0	0
ZC3H12A	0	0	0	2
MIR6732	0	0	0	0
MEAF6	0	0	0	3
MIR5581	0	0	0	0
LOC105378649	53	43	38	43
SNIP1	0	0	1	0
DNALI1	18	10	8	5
GNL2	1	1	1	1
RSPO1	0	0	0	0
C1orf109	1	0	4	6
CDCA8	1	2	3	3
EPHA10	1	0	0	0
LOC105378650	0	1	1	0
MANEAL	1	1	1	2
YRDC	460	219	326	258
C1orf122	48	55	53	44
MTF1	28	31	17	16
INPP5B	0	1	0	1
LOC105378651	15	15	20	16
SF3A3	5	0	1	3
FHL3	0	0	0	0
UTP11	0	1	0	0
POU3F1	0	0	0	0
MIR3659HG	0	0	0	0
MIR3659	0	0	0	0
LINC02786	0	0	0	0
LOC105378654	0	0	0	0
LINC01343	0	0	0	0
LOC105378657	0	0	0	0
LOC107984943	0	0	0	0
LINC01685	0	0	0	0
LOC105378658	0	0	0	0
LOC105378660	0	0	0	0
RRAGC	1	0	0	1
GJA9-MYCBP	0	0	0	0
MYCBP	0	0	0	0
LOC105378663	1	0	0	0
GJA9	0	0	0	0
RHBDL2	0	1	0	1
LOC105378662	14	0	10	0
AKIRIN1	0	0	2	2
NDUFS5	0	1	1	1
MACF1	2	2	0	2
KIAA0754	0	0	0	0
BMP8A	24	23	25	26
OXCT2P1	0	0	0	0
PPIEL	1	4	4	9
PABPC4	3	1	0	2
PABPC4-AS1	362	287	295	299
SNORA55	0	0	0	0
HEYL	0	0	0	0
NT5C1A	0	0	0	0
HPCAL4	0	0	0	0
PPIE	57	54	47	48
BMP8B	40	47	36	38
OXCT2	0	0	0	0
BMP8B-AS1	0	0	1	0
LOC101929536	0	0	0	1
LOC105378951	0	0	0	0
LINC02811	1	1	0	1
LOC105378665	0	1	0	0
LOC105378667	0	1	0	1
TRIT1	2	0	2	0
MYCL	0	0	0	0
MYCL-AS1	25	23	30	9
MFSD2A	0	1	1	4
LOC105378669	1	0	4	3
CAP1	6	8	11	6
PPT1	2877	2019	2266	2434
LOC105378671	0	0	0	0
RLF	0	1	0	2
TMCO2	0	0	0	0
ZMPSTE24	0	1	0	1
COL9A2	0	0	0	1
LOC107984945	0	0	0	0
SMAP2	2	1	1	3
ZFP69B	0	0	0	0
ZFP69	0	2	1	1
LOC105378672	0	0	0	1
EXO5	0	0	0	1
ZNF684	0	1	0	0
LOC105378673	0	0	0	0
RIMS3	0	0	0	1
LOC105378675	1	0	3	3
LOC105378674	0	0	0	0
NFYC-AS1	90	73	90	76
NFYC	6	5	3	8
MIR30E	0	0	0	0
MIR30C1	0	0	0	0
KCNQ4	0	0	0	0
LOC105378676	0	0	0	0
CITED4	0	0	0	0
CTPS1	0	0	1	0
